Date,Issuer,Symbol,Lead/Joint-Lead  Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng,$ Chg Opening,$ Chg Close,Star Ratings,Performed
5/24/2011,Yandex N.V. ,YNDX,"Morgan Stanley/ Deutsche Bank Securities/ Goldman, Sachs",$25.00 ,$35.00 ,$38.84 ,55.36%,$10.00 ,$13.84 ,3,
5/24/2011,Active Network (The) ,ACTV,BofA Merrill Lynch/ Citi,$15.00 ,$15.00 ,$15.90 ,6.00%,$0.00 ,$0.90 ,2,
5/26/2011,"Freescale Semiconductor Holdings I, Ltd ",FSL,Citi/ Deutsche Bank Securities/ Barclays Capital/ Credit Suisse/ JPMorgan,$18.00 ,$19.00 ,$18.33 ,1.83%,$1.00 ,$0.33 ,1,
5/26/2011,Lone Pine Resources ,LPR,J.P. Morgan/ Credit Suisse/ TD Securities,$13.00 ,$12.45 ,$11.55 ,-11.15%,($0.55),($1.45),1,
5/26/2011,Spirit Airlines ,SAVE,Citi/ Morgan Stanley,$12.00 ,$11.35 ,$12.11 ,0.92%,($0.65),$0.11 ,1,
5/26/2011,Solazyme ,SZYM,"Morgan Stanley/ Goldman, Sachs",$18.00 ,$19.60 ,$20.71 ,15.06%,$1.60 ,$2.71 ,2,
5/31/2011,China Growth Equity Investment ,CGEIU,Deutsche Bank Securities,$10.00 ,$10.02 ,$10.03 ,0.30%,$0.02 ,$0.03 ,1,
6/9/2011,Fusion-io ,FIO,"Goldman, Sachs/ Morgan Stanley/ J.P. Morgan/ Credit Suisse",$19.00 ,$25.00 ,$22.50 ,18.42%,$6.00 ,$3.50 ,1,
6/9/2011,Taomee Holdings ,TAOM,Credit Suisse/ Deutsche Bank Securities,$9.00 ,$8.49 ,$8.23 ,-8.56%,($0.51),($0.77),1,
6/15/2011,Compressco Partners L.P. ,GSJK,Raymond James/JPMorgan,$20.00 ,$20.00 ,$19.00 ,-5.00%,$0.00 ,($1.00),2,Missed
6/15/2011,Pandora Media ,P,Morgan Stanley/ J .P. Morgan Securities/ Citi,$16.00 ,$20.00 ,$17.42 ,8.88%,$4.00 ,$1.42 ,3,
6/16/2011,Empeiria Acquisition ,EPAQU,"Cohen & Company Capital Markets, LLC   I-Bankers Securities",$10.00 ,$9.95 ,$10.00 ,0.00%,($0.05),$0.00 ,1,
6/17/2011,Bankrate ,RATE,"Goldman, Sachs/ BofA Merrill Lynch / Citi/ J.P. Morgan",$15.00 ,$14.00 ,$15.34 ,2.27%,($1.00),$0.34 ,1,
6/21/2011,Trio Merger ,TMRGU,EarlyBirdCapital,$10.00 ,$10.00 ,$10.01 ,0.10%,$0.00 ,$0.01 ,1,
6/22/2011,Fidus Investment ,FDUS,Morgan Keegan,$15.00 ,$14.75 ,$15.00 ,0.00%,($0.25),$0.00 ,1,
6/22/2011,Vanguard Health Systems ,VHS,BofA Merrill Lynch/ Barclays Capital/ Citi/ Deutsche Bank Securities/ J.P. Morgan,$18.00 ,$18.01 ,$18.05 ,0.28%,$0.01 ,$0.05 ,1,
6/24/2011,KiOR ,KIOR,"Credit Suisse/ UBS Investment Bank/ Goldman, Sachs",$15.00 ,$15.00 ,$15.00 ,0.00%,$0.00 ,$0.00 ,1,
6/29/2011,HomeAway ,AWAY,Morgan Stanley,$27.00 ,$36.10 ,$40.21 ,48.93%,$9.10 ,$13.21 ,3,
6/30/2011,Azteca Acquisition ,AZTAU,Deutsche Bank Securities,$10.00 ,$10.00 ,10,0.00%,$0.00 ,$0.00 ,1,
